"","PlayerName","pos","points","value"
"1","Todd Gurley","rb",246.345,93.9966402566342
"2","Aaron Rodgers","qb",392.782,86.9654960736988
"3","Le'Veon Bell","rb",232.98,84.3178636570943
"4","Ezekiel Elliott","rb",229.58,81.855623444716
"5","Tom Brady","qb",370.726,70.9927989783413
"6","David Johnson","rb",211.27,68.5957357127613
"7","Russell Wilson","qb",351.962,57.4041297592042
"8","Leonard Fournette","rb",195.115,56.8964737624757
"9","Melvin Gordon","rb",194.055,56.1288341668519
"10","Kareem Hunt","rb",191.415,54.2169770607699
"11","Deshaun Watson","qb",343.798,51.4918564963053
"12","Drew Brees","qb",341.524,49.8450523072029
"13","Antonio Brown","wr",134.605,49.7052839657356
"14","Dalvin Cook","rb",184.5,49.2092149817711
"15","Saquon Barkley","rb",183.37,48.3908822053042
"16","Alvin Kamara","rb",182.975,48.1048278276897
"17","Cam Newton","qb",332.25,43.1289300337923
"18","Rob Gronkowski","te",108.28,41.3445300681158
"19","DeAndre Hopkins","wr",121.36,40.1134099619267
"20","Devonta Freeman","rb",169.83,38.5853726536566
"21","Ben Roethlisberger","qb",324.196,37.2963174836468
"22","Matthew Stafford","qb",321.778,35.5452301796672
"23","Julio Jones","wr",114.175,34.9101170425332
"24","Andrew Luck","qb",320.754,34.8036613627627
"25","Jordan Howard","rb",164.355,34.6204417234299
"26","Carson Wentz","qb",320.434,34.57192110748
"27","Odell Beckham Jr.","wr",111.04,32.6397867290609
"28","Philip Rivers","qb",317.608,32.525364978015
"29","Kirk Cousins","qb",317.526,32.4659815375989
"30","Alex Smith","qb",314.612,30.3556968379311
"31","Michael Thomas","wr",107.435,30.0290879156421
"32","Keenan Allen","wr",106.8,29.5692283465656
"33","Davante Adams","wr",106.8,29.5692283465656
"34","Jimmy Garoppolo","qb",310.952,27.7051676681357
"35","Travis Kelce","te",89.26,27.5704686447526
"36","Matt Ryan","qb",309.452,26.6188852214982
"37","Jared Goff","qb",309.254,26.4754959385421
"38","A.J. Green","wr",101.43,25.6803371876034
"39","Tyreek Hill","wr",100.535,25.0321886611097
"40","LeSean McCoy","rb",150.81,24.8113112302934
"41","Alex Collins","rb",149.965,24.1993721186877
"42","Mike Evans","wr",97.84,23.0805011986511
"43","Derrick Henry","rb",147.73,22.5808112731978
"44","Joe Mixon","rb",147.485,22.4033851402471
"45","Jerick McKinnon","rb",145.55,21.0020807840847
"46","Zach Ertz","te",79.82,20.7341311139141
"47","Doug Baldwin","wr",94.445,20.6218819277616
"48","Stefon Diggs","wr",90.37,17.6708146143965
"49","Christian McCaffrey","rb",140.945,17.6671936729077
"50","T.Y. Hilton","wr",89.965,17.3775183538043
"51","Amari Cooper","wr",89.795,17.2544063431854
"52","JuJu Smith-Schuster","wr",88.93,16.6279834656245
"53","Jay Ajayi","rb",139.25,16.4396945082073
"54","Marvin Jones","wr",86.675,14.9949388541795
"55","Jimmy Graham","te",71.63,14.8030289552735
"56","Adam Thielen","wr",86.075,14.5604258755245
"57","Marcus Mariota","qb",292.672,14.4670055851137
"58","Dak Prescott","qb",292.394,14.2656812383368
"59","Brandin Cooks","wr",85.36,14.0426312426273
"60","Patrick Mahomes","qb",291.36,13.5168705384547
"61","Kenyan Drake","rb",134.805,13.2206775246716
"62","Evan Engram","te",69.31,13.1229121044742
"63","Blake Bortles","qb",290.588,12.9577971725853
"64","Demaryius Thomas","wr",83.58,12.7535760726175
"65","Greg Olsen","te",68.535,12.5616661737115
"66","Josh Gordon","wr",83.11,12.4132075726711
"67","Larry Fitzgerald","wr",82.09,11.6745355089576
"68","Delanie Walker","te",66.84,11.3341670090112
"69","Allen Robinson","wr",81.22,11.0444916899079
"70","Royce Freeman","rb",130.715,10.2587473868401
"71","Kyle Rudolph","te",65.315,10.2297798549297
"72","Golden Tate","wr",79.99,10.1537400836651
"73","Lamar Miller","rb",130.26,9.92924171136003
"74","Chris Hogan","wr",79.485,9.78802499329719
"75","Alshon Jeffery","wr",79.03,9.45851931781714
"76","Michael Crabtree","wr",77.615,8.43379287648913
"77","Marquise Goodwin","wr",77.425,8.29619709991505
"78","Devin Funchess","wr",76.89,7.90875636061434
"79","Jarvis Landry","wr",75.36,6.80074826504412
"80","Sammy Watkins","wr",73.965,5.79050558967127
"81","Robert Woods","wr",73.945,5.77602182371611
"82","Cooper Kupp","wr",73.38,5.36685543548265
"83","Robby Anderson","wr",73.275,5.29081566421803
"84","Jordan Reed","te",58.18,5.06269635042416
"85","Randall Cobb","wr",72.26,4.55576454199334
"86","Jack Doyle","te",57.48,4.55576454199334
"87","Derek Carr","qb",277.688,3.61576813150302
"88","Marshawn Lynch","rb",121.28,3.42603079749036
"89","Trey Burton","te",55.12,2.84668015928371
"90","Ryan Tannehill","qb",275.544,2.06310842110918
"91","Andy Dalton","qb",275.132,1.76474284243277
"92","Corey Davis","wr",67.555,1.14845860104046
"93","Case Keenum","qb",274.076,1
"94","Mark Ingram","rb",117.93,1
"95","Jamison Crowder","wr",67.35,1
"96","George Kittle","te",52.57,1
